46241,STANDARD,Indianapolis,,"Drexel Gardens, Drexel Gdns, Mars Hill, Maywood, Park Fletcher",IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,23640,
46242,PO BOX,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46244,PO BOX,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46247,PO BOX,Indianapolis,Southport,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46249,UNIQUE,Indianapolis,,"Army Finance Center, Army Finance Ctr",IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46250,STANDARD,Indianapolis,Castleton,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,16186,
46251,PO BOX,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46253,PO BOX,Indianapolis,Eagle Creek,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,510,
46254,STANDARD,Indianapolis,Eagle Creek,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,30767,
46255,UNIQUE,Indianapolis,,"Merchants Bank, National City Bank",IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46256,STANDARD,Indianapolis,Castleton,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,21134,
46259,STANDARD,Indianapolis,Acton,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,10274,
46260,STANDARD,Indianapolis,"Meridian Hills, Meridian Hls, Nora",,IN,Marion County,America/Indiana/Indianapolis,317765,39.77,-86.14,NA,US,0,26633,
46262,UNIQUE,Indianapolis,,Huntington Bank,IN,Marion County,America/Indiana/Indianapolis,317,39.76,-86.15,NA,US,0,0,"no NWS data, "
46266,UNIQUE,Indianapolis,,Chase Bank,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46268,STANDARD,Indianapolis,New Augusta,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,20516,
46274,UNIQUE,Indianapolis,Time/life,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46275,UNIQUE,Indianapolis,,Time Life Inc,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46277,UNIQUE,Indianapolis,,Chase Bank,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46278,STANDARD,Indianapolis,New Augusta,Traders Point,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,7925,
46280,STANDARD,Indianapolis,Nora,,IN,Hamilton County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,5998,
46282,STANDARD,Indianapolis,,,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46283,UNIQUE,Indianapolis,,Brylane,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46285,UNIQUE,Indianapolis,,Eli Lilly Co,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,652,
46290,STANDARD,Indianapolis,Nora,,IN,Hamilton County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46291,UNIQUE,Indianapolis,,"B M G, Rca Mfg Co",IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46295,UNIQUE,Indianapolis,,Usps Scanner Repair,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46296,UNIQUE,Indianapolis,,Usps Symbol Repair,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.16,NA,US,0,0,"no NWS data, "
46298,UNIQUE,Indianapolis,,Greater Indiana District,IN,Marion County,America/Indiana/Indianapolis,317,39.77,-86.14,NA,US,0,0,
46301,PO BOX,Beverly Shores,Beverly Shrs,,IN,Porter County,America/Indiana/Indianapolis,219,41.68,-86.97,NA,US,0,565,
